path,r_1,r_1_angles,r_1_nfev
graphs/main/nodes_12/depth_3/169.gml,0.7227846384299551,[ 1.77931737 -1.00808486],33
graphs/main/nodes_12/depth_3/170.gml,0.8159004704542281,[1.36284393 0.35470943],48
graphs/main/nodes_12/depth_3/171.gml,0.8413597688812527,[ 1.35011668 -2.02906898],81
graphs/main/nodes_12/depth_3/172.gml,0.7931034482732916,[-2.35622008  0.06910426],36
graphs/main/nodes_12/depth_3/173.gml,0.7405354839677286,[1.40106999 0.34332154],63
graphs/main/nodes_12/depth_3/174.gml,0.8028342117651317,[-1.36969333 -2.72568077],27
graphs/main/nodes_12/depth_3/175.gml,0.7193281043055605,[-1.36232932 -2.77159237],27
graphs/main/nodes_12/depth_3/176.gml,0.8501703135610603,[-2.9673537   1.29104042],39
graphs/main/nodes_12/depth_3/177.gml,0.7666452122959156,[ 1.38107157 -1.96679212],36
graphs/main/nodes_12/depth_3/178.gml,0.8154527815960354,[-1.75821465 -0.40681105],30
graphs/main/nodes_12/depth_3/179.gml,0.781287551728849,[-1.35057445 -2.40136152],42
graphs/main/nodes_12/depth_3/180.gml,0.7975248583083084,[-1.76737171 -0.63350968],30
graphs/main/nodes_12/depth_3/181.gml,0.6964285714268217,[ 2.35621005 -1.68416755],27
graphs/main/nodes_12/depth_3/182.gml,0.7666666666666638,[ 2.35619347 -1.66307481],30
graphs/main/nodes_12/depth_3/183.gml,0.8534189660357614,[-0.2078498  -2.83204464],60
graphs/main/nodes_12/depth_3/184.gml,0.7678571428571163,[-0.78539767 -1.03073185],21
graphs/main/nodes_12/depth_3/185.gml,0.7735231683506909,[ 1.7485037  -1.19676906],90
graphs/main/nodes_12/depth_3/186.gml,0.8463501093949028,[-0.16836592 -2.86537587],78
graphs/main/nodes_12/depth_3/187.gml,0.8207036727131418,[-1.76577298 -1.94853233],117
graphs/main/nodes_12/depth_3/188.gml,0.660139624452064,[ 0.94729552 -0.04970659],57
graphs/main/nodes_12/depth_3/189.gml,0.7393327558671077,[ 1.80156805 -0.39716237],30
graphs/main/nodes_12/depth_3/190.gml,0.7678571428563659,[ 0.7854008  -2.91635621],15
graphs/main/nodes_12/depth_3/191.gml,0.7055407664812287,[-1.75035711 -0.54795159],33
graphs/main/nodes_12/depth_3/192.gml,0.7760663245261118,[1.75965275 1.94434056],30
graphs/main/nodes_12/depth_3/193.gml,0.7590266731114385,[1.36985609 1.15052969],30
graphs/main/nodes_12/depth_3/194.gml,0.8095636327420543,[ 2.96933916 -2.86343366],27
graphs/main/nodes_12/depth_3/195.gml,0.7430284794391161,[-1.68065151 -0.33221054],33
graphs/main/nodes_12/depth_3/196.gml,0.8106999428535614,[-1.3595612  -2.29974133],48
graphs/main/nodes_12/depth_3/197.gml,0.7961852640820943,[ 1.75874408 -1.16677694],54
graphs/main/nodes_12/depth_3/198.gml,0.7640461579955907,[ 1.79213024 -1.16137154],30
graphs/main/nodes_12/depth_3/199.gml,0.7698965143908237,[-1.73122851  0.3487645 ],39
graphs/main/nodes_12/depth_3/200.gml,0.8451911908726875,[ 2.95057986 -2.84070318],54
graphs/main/nodes_12/depth_3/201.gml,0.7506718867854225,[-1.77983241  0.38334503],54
graphs/main/nodes_12/depth_3/202.gml,0.8062071066004901,[0.18924371 1.27747209],63
graphs/main/nodes_12/depth_3/203.gml,0.722222222154033,[ 0.7845041  -3.06008752],36
